date,Amplitude
0.0,83.24811
0.0540441,83.56925
0.1048169,83.71612
0.1555934,83.18962
0.2056709,82.57343
0.2558023,82.11857
0.3068378,81.53464
0.3596014,81.1654358
0.4097828,81.15862
0.4613487,81.2363052
0.5118346,81.07644
0.5626801,80.39649
0.614463,80.01505
0.6654693,79.79465
0.7162043,79.7240753
0.7661536,79.34096
0.8190543,78.5383
0.8708084,77.92754
0.9217364,77.58245
0.972024,77.2236252
1.0227164,76.67384
1.07262158,76.49661
1.122896,76.32752
1.17285645,75.91733
1.22317946,75.7740555
1.27276647,75.32662
1.32284045,75.2351456
1.37395835,75.02106
1.42474055,74.9251251
1.47527385,74.52997
1.52940845,74.3331146
1.58031332,74.13279
1.63286686,74.0807
1.68378413,74.100174
1.734085,74.0198059
1.783828,73.66444
1.83673024,73.78065
1.885809,73.82883
1.936786,73.85898
1.986872,73.97334
2.03772259,74.10769
2.086627,74.30572
2.13626623,74.38399
2.18549013,74.53863
2.236998,74.76006
2.28707957,75.00972
2.33792162,75.10931
2.38704777,75.24135
2.4377017,75.38395
2.488144,75.41832
2.53930449,75.4374542
2.59305429,75.48533
2.64311337,75.5002441
2.69433618,75.45239
2.74484372,75.49823
2.79568863,75.6007156
2.8460176,75.89592
2.89597321,76.11947
2.947865,76.68483
2.99880719,76.93075
3.049815,77.2748947
3.10075617,77.40659
3.15055871,77.84598
3.20177317,78.05915
3.25239062,78.25162
3.30254,78.40535
3.35262275,78.96021
3.40378237,79.20242
3.453589,79.6580353
3.50298476,79.83131
3.553516,79.9435
3.60397482,80.09821
3.654707,80.46702
3.70568967,80.64752
3.75727534,80.97557
3.80660367,81.40218
3.86092567,82.01479
3.91135764,82.35937
3.96273875,82.64569
4.01333,83.13546
4.063567,83.2301941
4.115324,83.60054
4.16586542,83.5491943
4.218679,83.20925
4.26886225,82.86776
4.31913948,82.4469
4.37000847,82.03137
4.420787,81.63079
4.47179556,81.24383
4.52151155,81.00271
4.571241,80.84765
4.621681,80.14797
4.672752,79.5891342
4.723721,79.19258
4.773979,78.46235
4.823837,78.13965
4.875193,77.5573349
4.92577267,77.32163
4.977311,76.90574
5.02715635,76.17359
5.07700253,75.556076
5.1273756,75.36614
5.178607,75.35101
5.22772,75.01133
5.27787828,75.02934
5.32809258,75.1028442
5.37771034,75.2954559
5.427763,75.21796
5.477668,75.11315
5.528755,75.01134
5.57972574,74.8261642
5.630671,74.54679
5.680845,74.131
5.73168373,73.971344
5.78163862,73.76974
5.831722,73.27702
5.88154459,73.18184
5.93064,73.18688
5.981633,73.14886
6.033588,73.09895
6.084989,72.79833
6.135586,72.9715042
6.18562126,72.95047
6.236629,72.85283
6.2876544,72.82642
6.33705759,72.75648
6.38677,72.71693
6.43688,72.80241
6.486629,72.84264
6.537728,72.9337158
6.588404,72.99155
6.638927,73.07151
6.68963766,73.21612
6.74073553,73.42159
6.79158163,73.59236
6.842888,73.9040451
6.894954,74.25796
6.94647932,74.6013947
6.996551,74.80477
7.04674244,75.066864
7.097871,75.47742
7.14821863,76.0428162
7.19892931,76.36378
7.249804,76.7317047
7.30271864,77.3232651
7.35346127,77.58598
7.403848,78.14128
7.45473051,78.4177
7.5041585,78.6762
7.55525446,79.210144
7.60544062,79.60905
7.65477657,80.00389
7.704545,80.77911
7.754345,81.3648758
7.80368233,81.70182
7.853603,82.24549
7.90337038,82.44709
7.955464,82.70102
8.006281,82.4782257
8.056719,82.11389
8.107955,81.60112
8.158031,81.08618
8.208622,80.5305252
8.258007,80.1510544
8.308446,79.901825
8.357828,79.75817
8.405971,79.59597
8.456512,79.0190659
8.505872,78.60494
8.555743,77.94506
8.605201,77.66965
8.656915,77.38048
8.707037,76.75106
8.757977,76.5074
8.80765,76.26612
8.85789,75.68632
8.90741348,75.36661
8.957575,75.15828
9.008998,74.6958847
9.060387,74.49597
9.110539,73.96958
9.160028,73.91798
9.210672,73.95165
9.260587,73.69362
9.311011,73.58809
9.363516,73.57897
9.413076,73.66623
9.462008,73.6006546
9.511528,73.58283
9.564496,73.663414
9.613322,73.72336
9.663727,73.76761
9.714674,73.89908
9.764518,74.09248
9.814365,74.32561
9.864741,74.49031
9.915355,74.6222153
9.964572,74.81278
10.0154762,75.07266
10.0656919,75.1931458
10.1163673,75.44104
10.164897,75.86139
10.2158461,76.31986
10.2666941,76.60866
10.3156719,77.2667542
10.3664627,77.6415253
10.4178095,78.25328
10.4677267,78.5003738
10.518734,79.0146
10.569128,79.18274
10.6196156,79.20148
10.6691189,79.4587
10.719965,79.3934555
10.7700348,79.24836
10.8206434,78.96174
10.871583,78.61628
10.9219036,78.30036
10.9727249,77.91398
11.0221138,77.4474945
11.0713539,77.1773
11.1210384,77.0225754
11.1735439,76.84617
11.2232351,76.3501
